nbsujet nbséanceia nbséanceprog
0 24 4681
1 34 4681
2 91 4681
3 78 4681
4 28 4681
5 30 4681
6 32 4681
7 31 4681
8 47 4681
9 81 4681
10 82 4681
11 33 4681
12 75 4681
13 81 4681
14 32 4681
15 59 4681
16 87 4681
17 20 4681
18 50 4681
19 70 4681
20 30 4681
21 35 4681
22 28 4681
23 55 4681
24 77 4681
25 82 4681
26 35 4681
27 44 4681
28 36 4681
29 31 4681
30 80 4681
31 90 4681
32 20 4681
33 31 4681
34 71 4681
35 47 4681
36 28 4681
37 44 4681
38 35 4681
39 30 4681
40 21 4681
41 82 4681
42 74 4681
43 18 4681
44 29 4681
45 29 4681
46 32 4681
47 88 4681
48 32 4681
49 47 4681
50 30 4681
51 47 4681
52 68 4681
53 92 4681
54 20 4681
55 33 4681
56 44 4681
57 35 4681
58 30 4681
59 28 4681
60 92 4681
61 74 4681
62 32 4681
63 21 4681
64 85 4681
65 67 4681
66 47 4681
67 90 4681
68 20 4681
69 33 4681
70 35 4681
71 32 4681
72 28 4681
73 31 4681
74 45 4681
75 21 4681
76 18 4681
77 31 4681
78 44 4681
79 76 4681
80 31 4681
81 20 4681
82 23 4681
83 33 4681
84 23 4681
85 88 4681
86 44 4681
87 31 4681
88 35 4681
89 49 4681
90 89 4681
91 44 4681
92 28 4681
93 34 4681
94 92 4681
95 31 4681
96 35 4681
97 46 4681
98 22 4681
99 75 4681
100 68 149
101 79 4681
102 35 4681
103 28 4681
104 78 4681
105 18 4681
106 47 4681
107 51 4681
108 71 4681
109 36 4681
110 83 4681
111 82 4681
112 23 4681
113 20 4681
114 33 4681
115 20 4681
116 83 4681
117 31 4681
118 48 4681
119 69 4681
120 49 4681
121 63 4681
122 32 4681
123 33 4681
124 47 4681
125 50 4681
126 74 4681
127 77 4681
128 21 4681
129 33 4681
130 87 4681
131 84 4681
132 79 4681
133 23 4681
134 48 4681
135 92 4681
136 89 4681
137 45 4681
138 33 4681
139 21 4681
140 20 4681
141 80 4681
142 77 4681
143 90 4681
144 33 4681
145 20 4681
146 28 4681
147 84 4681
148 83 4681
149 44 4681
150 34 4681
151 31 4681
152 20 4681
153 31 4681
154 31 4681
155 32 4681
156 31 4681
157 34 4681
158 44 4681
159 83 4681
160 81 4681
161 81 4681
162 36 4681
163 50 4681
164 49 4681
165 33 4681
166 19 4681
167 44 4681
168 31 4681
169 22 4681
170 18 4681
171 93 4681
172 30 4681
173 19 4681
174 82 4681
175 22 4681
176 82 4681
177 36 4681
178 76 4681
179 73 4681
180 35 4681
181 79 4681
182 75 4681
183 44 4681
184 20 4681
185 21 4681
186 49 4681
187 35 4681
188 35 4681
189 86 4681
190 72 4681
191 37 4681
192 29 4681
193 23 4681
194 32 4681
195 24 4681
196 82 4681
197 77 4681
198 48 4681
199 23 4681
200 23 4681
201 34 4681
202 48 4681
203 37 4681
204 23 4681
205 78 4681
206 36 4681
207 33 4681
208 85 4681
209 34 4681
210 34 4681
211 74 4681
212 91 4681
213 53 4681
214 51 4681
215 35 4681
216 21 4681
217 31 4681
218 31 4681
219 36 4681
220 32 4681
221 34 4681
222 68 4681
223 44 4681
224 86 4681
225 31 4681
226 19 4681
227 37 4681
228 82 4681
229 20 4681
230 44 4681
231 49 4681
232 83 4681
233 84 4681
234 34 4681
235 50 4681
236 48 4681
237 29 4681
238 35 4681
239 21 4681
240 76 4681
241 23 4681
242 90 4681
243 30 4681
244 81 4681
245 80 4681
246 22 4681
247 34 4681
248 37 4681
249 84 4681
250 37 4681
251 44 4681
252 33 4681
253 32 4681
254 48 4681
255 28 4681
256 34 4681
257 45 4681
258 32 4681
259 32 4681
260 18 4681
261 71 4681
262 91 4681
263 20 4681
264 28 4681
265 45 4681
266 18 4681
267 80 4681
268 78 4681
269 88 4681
270 34 4681
271 31 4681
272 29 4681
273 22 4681
274 28 4681
275 90 4681
276 33 4681
277 32 4681
278 35 4681
279 32 4681
280 32 4681
281 22 4681
282 79 4681
283 22 4681
284 49 4681
285 21 4681
286 71 4681
287 44 4681
288 83 4681
289 74 4681
290 89 4681
291 90 4681
292 67 4681
293 72 4681
294 32 4681
295 36 4681
296 30 4681
297 31 4681
298 48 4681
299 28 4681
300 35 4681
301 90 4681
302 80 4681
303 44 4681
304 36 4681
305 32 4681
306 81 4681
307 32 4681
308 31 4681
309 28 4681
310 34 4681
311 33 4681
312 82 4681
313 31 4681
314 30 4681
315 30 4681
316 32 4681
317 33 4681
318 35 4681
319 48 4681
320 88 4681
321 31 4681
322 45 4681
323 36 4681
324 23 4681
325 30 4681
326 79 4681
327 85 4681
328 72 4681
329 45 4681
330 68 4681
331 45 4681
332 23 4681
333 78 4681
334 91 4681
335 78 4681
336 83 4681
337 44 4681
338 81 4681
339 30 4681
340 46 4681
341 30 4681
342 93 4681
343 35 4681
344 74 4681
345 49 4681
346 57 4681
347 23 4681
348 21 4681
349 21 4681
350 34 4681
351 34 4681
352 30 4681
353 19 4681
354 51 4681
355 76 1272
356 62 4681
357 29 4681
358 32 4681
359 18 4681
360 34 4681
361 88 4681
362 33 4681
363 63 4681
364 79 4681
365 89 4681
366 49 4681
367 28 4681
368 36 4681
369 46 4681
370 28 4681
371 28 4681
372 34 4681
373 32 4681
374 19 4681
375 54 4681
376 30 4681
377 24 4681
378 72 4681
379 51 4681
380 37 4681
381 21 4681
382 36 4681
383 31 4681
384 56 4681
385 31 4681
386 46 4681
387 28 4681
388 31 4681
389 79 4681
390 34 4681
391 36 4681
392 23 4681
393 22 4681
394 28 4681
395 80 4681
396 47 4681
397 32 4681
398 50 4681
399 30 4681
400 92 4681
401 53 4681
402 21 4681
403 55 4681
404 31 4681
405 28 4681
406 46 4681
407 71 4681
408 91 4681
409 21 4681
410 45 4681
411 76 4681
412 46 4681
413 35 4681
414 33 4681
415 23 4681
416 80 4681
417 63 4681
418 23 4681
419 46 4681
420 78 4681
421 46 4681
422 35 4681
423 44 4681
424 82 4681
425 79 4681
426 75 4681
427 31 4681
428 48 4681
429 35 4681
430 22 4681
431 34 4681
432 79 4681
433 23 4681
434 18 4681
435 33 4681
436 37 4681
437 45 4681
438 21 4681
439 21 4681
440 33 4681
441 35 4681
442 49 4681
443 36 4681
444 83 4681
445 30 4681
446 84 4681
447 33 4681
448 70 4681
449 31 4681
450 68 4681
451 67 4681
452 78 4681
453 93 4681
454 47 4681
455 30 4681
456 51 4681
457 45 4681
458 18 4681
459 35 4681
460 47 4681
461 33 4681
462 28 4681
463 44 4681
464 87 4681
465 85 4681
466 21 4681
467 83 4681
468 30 4681
469 36 4681
470 44 4681
471 83 4681
472 44 4681
473 23 4681
474 33 4681
475 37 4681
476 28 4681
477 87 4681
478 31 4681
479 59 4681
480 90 4681
481 89 4681
482 23 4681
483 76 4681
484 36 4681
485 45 4681
486 31 4681
487 32 4681
488 84 4681
489 45 4681
490 37 4681
491 21 4681
492 21 4681
493 21 4681
494 35 4681
495 31 4681
496 44 4681
497 76 4681
498 48 4681
499 32 4681
500 18 4681
501 20 4681
