nbsujet act10 act100 act1000
0 92 92 92
1 91 91 91
2 75 75 75
3 82 82 82
4 94 44 44
5 132 70 70
6 134 77 77
7 145 83 83
8 124 75 75
9 48 78 78
10 91 74 74
11 134 81 81
12 146 90 90
13 137 81 81
14 9 9 69
15 69 70 77
16 80 81 76
17 56 91 83
18 83 75 76
19 84 47 80
20 139 139 87
21 134 134 82
22 56 56 70
23 138 139 87
24 85 85 76
25 68 68 53
26 72 72 56
27 134 135 84
28 127 127 77
29 89 89 44
30 87 87 51
31 129 129 79
32 94 94 51
33 92 92 76
34 71 71 79
35 147 147 91
36 75 75 51
37 73 73 82
38 74 91 44
39 88 55 92
40 85 85 76
41 132 132 76
42 88 88 78
43 91 140 84
44 131 91 81
45 53 53 75
46 94 94 51
47 147 147 91
48 85 86 79
49 83 83 55
50 140 140 85
51 85 85 90
52 66 66 93
53 73 73 56
54 68 68 68
55 125 125 70
56 89 89 83
57 92 92 56
58 68 68 52
59 85 123 80
60 82 82 78
61 81 81 82
62 79 79 81
63 69 69 44
64 82 82 84
65 86 86 88
66 86 86 81
67 71 71 60
68 66 66 68
69 51 51 51
70 70 83 79
71 44 44 44
72 82 82 84
73 89 89 91
74 85 85 81
75 83 83 84
76 71 71 73
77 75 75 45
78 91 91 93
79 54 54 54
80 68 68 69
81 83 83 79
82 65 65 44
83 83 83 79
84 44 44 44
85 83 83 79
86 88 88 89
87 68 68 86
88 90 90 76
89 86 86 44
90 68 122 68
91 71 71 70
92 72 72 44
93 87 87 85
94 87 87 87
95 56 56 56
96 81 81 77
97 65 65 51
98 82 82 77
99 80 80 81
100 76 76 77
101 88 88 89
102 91 91 92
103 80 80 81
104 65 65 90
105 84 84 79
106 82 82 80
107 71 71 44
108 123 123 68
109 133 133 78
110 68 68 44
111 82 82 83
112 122 122 83
113 126 126 78
114 126 126 71
115 129 129 74
116 71 71 44
117 86 86 81
118 91 91 92
119 83 83 79
120 84 84 89
121 81 81 92
122 81 81 52
123 128 128 72
124 124 124 76
125 72 72 44
126 86 86 44
127 45 45 88
128 85 85 80
129 95 95 80
130 88 88 89
131 90 90 76
132 81 81 80
133 77 77 45
134 67 67 68
135 84 84 92
136 140 140 84
137 144 144 88
138 129 129 73
139 91 91 76
140 45 45 72
141 83 83 52
142 140 140 84
143 84 84 44
144 84 84 79
145 66 66 67
146 92 92 93
147 81 81 76
148 92 92 93
149 70 70 71
150 90 90 91
151 45 45 44
152 82 82 83
153 74 74 75
154 68 68 69
155 86 86 81
156 84 84 80
157 44 44 44
158 51 51 51
159 62 62 62
160 82 82 83
161 85 85 86
162 44 44 44
163 81 81 77
164 60 60 60
165 73 73 74
166 88 88 89
167 72 72 73
168 71 71 72
169 44 44 45
170 66 66 67
171 85 85 86
172 79 79 80
173 89 89 90
174 89 89 90
175 67 67 68
176 44 44 44
177 91 91 91
178 76 76 80
179 43 43 44
180 90 90 74
181 96 96 84
182 41 41 82
183 93 93 86
184 97 97 73
185 12 12 44
186 90 90 91
187 43 43 44
188 72 72 83
189 89 89 53
190 92 92 56
191 92 92 92
192 91 91 55
193 74 74 82
194 76 76 76
195 43 43 44
196 87 87 88
197 97 97 69
198 96 96 82
199 44 44 80
200 92 92 56
201 86 86 86
202 98 98 85
203 78 78 78
204 92 92 56
205 91 91 91
206 52 52 52
207 60 60 60
208 58 58 58
209 44 44 44
210 41 41 44
211 46 46 77
212 36 36 44
213 99 99 63
214 91 91 91
215 43 43 81
216 71 71 71
217 44 44 44
218 93 93 91
219 87 87 88
220 84 84 81
221 44 44 45
222 72 72 72
223 83 83 83
224 82 82 82
225 97 97 93
226 35 35 44
227 94 94 93
228 68 68 80
229 46 46 77
230 90 90 91
231 83 83 84
232 67 67 68
233 90 90 91
234 94 94 83
235 78 78 81
236 44 44 45
237 85 85 86
238 88 88 89
239 69 69 70
240 96 96 60
241 45 45 78
242 68 68 83
243 89 89 53
244 79 79 80
245 44 44 44
246 97 97 89
247 72 72 73
248 44 44 45
249 74 74 75
250 91 91 74
251 99 99 72
252 92 92 89
253 93 93 57
254 80 80 81
255 92 92 89
256 95 95 85
257 99 99 63
258 99 99 82
259 40 40 83
260 88 88 89
261 45 45 44
262 38 38 44
263 88 88 52
264 74 74 80
265 48 48 76
266 99 99 67
267 85 85 86
268 82 82 83
269 40 40 83
270 72 72 81
271 44 44 44
272 91 91 69
273 68 68 76
274 89 89 90
275 90 90 54
276 74 74 44
277 95 95 86
278 81 81 82
279 76 76 78
280 94 94 81
281 98 98 86
282 87 87 88
283 85 85 82
284 73 73 74
285 72 72 73
286 85 85 86
287 92 92 93
288 89 89 90
289 95 95 70
290 67 67 68
291 86 86 87
292 99 99 83
293 93 93 83
294 97 97 73
295 94 94 89
296 99 99 63
297 99 99 80
298 73 73 44
299 74 74 82
300 90 90 91
301 47 47 76
302 70 70 82
303 41 41 82
304 70 70 71
305 57 57 57
306 63 63 63
307 44 44 44
308 78 78 79
309 78 78 79
310 71 71 72
311 40 40 83
312 73 73 83
313 72 72 80
314 93 93 82
315 93 93 84
316 90 90 54
317 80 80 81
318 40 40 83
319 85 85 86
320 66 66 67
321 47 47 76
322 79 79 77
323 84 84 82
324 78 78 79
325 84 84 85
326 90 90 91
327 85 85 86
328 73 73 73
329 78 78 79
330 92 92 93
331 68 68 44
332 83 83 81
333 72 72 73
334 78 78 76
335 75 75 69
336 74 74 44
337 87 87 88
338 44 44 45
339 90 90 91
340 78 78 76
341 86 86 87
342 44 44 44
343 84 84 85
344 83 83 83
345 59 59 59
346 78 78 79
347 44 44 44
348 87 87 88
349 82 82 83
350 91 91 55
351 42 42 44
352 89 89 53
353 36 36 44
354 43 43 80
355 89 89 89
356 72 72 81
357 79 79 79
358 74 74 80
359 74 74 44
360 92 92 75
361 72 72 72
362 75 75 82
363 97 97 61
364 88 88 52
365 75 75 77
366 93 93 93
367 70 70 70
368 84 84 84
369 74 74 74
370 97 97 61
371 93 93 79
372 85 85 85
373 75 75 45
374 69 69 69
375 88 88 52
376 5 5 45
377 99 99 77
378 71 71 77
379 97 97 78
380 93 93 93
381 100 100 89
382 96 96 74
383 75 75 81
384 95 95 91
385 83 83 83
386 79 79 82
387 99 99 70
388 83 83 83
389 3 3 44
390 84 84 84
391 84 84 84
392 83 83 83
393 75 75 78
394 81 81 81
395 91 91 55
396 71 71 67
397 71 71 44
398 75 75 75
399 87 87 87
400 74 74 77
401 76 76 76
402 95 95 59
403 90 90 54
404 92 92 68
405 45 45 44
406 43 43 80
407 91 91 75
408 82 82 82
409 98 98 86
410 98 98 88
411 3 3 44
412 68 68 81
413 66 66 79
414 47 47 76
415 89 89 68
416 72 72 79
417 97 97 69
418 96 96 60
419 96 96 72
420 93 93 84
421 67 67 67
422 81 81 81
