nbsujet act10 act100 act1000
0 33 33 33
1 23 23 23
2 19 19 19
3 35 35 35
4 22 34 34
5 28 20 20
6 21 34 34
7 22 35 35
8 18 21 21
9 30 33 33
10 23 33 33
11 19 22 22
12 22 22 22
13 24 35 35
14 20 20 32
15 17 17 20
16 23 22 34
17 23 23 35
18 23 23 23
19 21 21 22
20 17 17 20
21 20 20 22
22 21 21 21
23 22 21 23
24 27 27 18
25 22 22 33
26 22 22 34
27 23 24 21
28 28 28 18
29 22 22 35
30 22 23 22
31 25 26 19
32 20 20 32
33 18 19 34
34 21 21 32
35 22 22 22
36 21 22 23
37 27 27 18
38 20 21 32
39 25 26 20
40 20 20 35
41 19 19 33
42 26 26 18
43 24 25 19
44 25 26 21
45 21 21 30
46 19 21 32
47 24 24 19
48 17 17 34
49 22 22 23
50 27 27 34
51 20 20 31
52 23 29 19
53 20 20 22
54 24 24 19
55 18 18 35
56 18 18 35
57 22 22 30
58 24 24 18
59 22 22 21
60 20 20 31
61 19 19 24
62 18 18 33
63 21 21 30
64 19 19 23
65 23 23 20
66 17 17 34
67 22 22 23
68 21 21 34
69 25 25 18
70 19 19 32
71 21 21 30
72 25 25 18
73 24 24 18
74 19 19 32
75 18 18 35
76 23 23 20
77 18 18 33
78 20 20 22
79 19 19 23
80 22 22 34
81 22 22 31
82 24 24 22
83 22 22 34
84 22 22 22
85 21 21 31
86 21 21 30
87 22 22 23
88 22 22 35
89 19 19 23
90 21 21 32
91 23 23 23
92 26 26 18
93 21 21 23
94 23 23 20
95 19 19 33
96 25 25 21
97 19 19 33
98 20 20 32
99 17 17 35
100 21 21 21
101 21 21 22
102 24 24 19
103 24 24 20
104 23 23 19
105 21 21 21
106 23 23 19
107 20 20 32
108 21 21 30
109 19 19 23
110 18 18 33
111 24 24 18
112 20 20 22
113 21 21 31
114 16 16 35
115 20 20 23
116 22 22 20
117 17 17 34
118 17 17 34
119 20 20 31
120 21 21 30
121 18 18 33
122 22 22 20
123 18 18 33
124 16 16 35
125 20 20 22
126 20 20 35
127 21 21 35
128 21 21 30
129 20 20 23
130 20 20 36
131 21 21 36
132 21 21 22
133 21 21 35
134 27 27 35
135 22 22 30
136 18 18 20
137 18 18 20
138 21 21 23
139 21 21 31
140 21 21 20
141 20 20 34
142 21 21 23
143 20 20 31
144 23 23 31
145 27 27 34
146 17 17 19
147 22 22 23
148 27 27 34
149 19 19 21
150 25 25 33
151 20 20 19
152 23 23 31
153 29 29 36
154 18 18 20
155 18 18 20
156 27 27 35
157 24 24 32
158 27 27 35
159 19 19 20
160 20 20 22
161 19 19 21
162 20 20 19
163 18 18 33
164 18 18 19
165 22 22 30
166 27 27 35
167 22 22 30
168 24 24 32
169 26 26 34
170 23 23 31
171 22 22 23
172 20 20 22
173 21 21 23
174 19 19 21
175 24 24 31
176 28 28 35
177 22 22 24
178 18 18 20
179 19 19 20
180 20 20 22
181 20 20 35
182 28 28 36
183 20 20 22
184 27 27 35
185 27 27 35
186 21 21 22
187 20 20 21
188 26 26 34
189 18 18 18
190 21 21 23
191 21 21 22
192 22 22 34
193 25 25 18
194 21 21 31
195 20 20 33
196 26 26 34
197 18 18 19
198 22 22 24
199 25 25 18
200 20 20 32
201 17 17 35
202 21 21 23
203 26 26 18
204 20 20 33
205 24 24 19
206 25 25 23
207 17 17 34
208 21 21 24
209 21 21 23
210 21 21 22
211 19 19 32
212 20 20 31
213 21 21 30
214 23 23 20
215 19 19 32
216 25 25 19
217 22 22 21
218 23 23 23
219 22 22 34
220 24 24 20
221 17 17 35
222 21 21 31
223 21 21 34
224 21 21 32
225 20 20 23
226 22 22 30
227 19 19 32
228 20 20 19
229 22 22 21
230 21 21 30
231 22 22 21
232 22 22 21
233 18 18 34
234 18 18 33
235 22 22 30
236 28 28 35
237 17 17 19
238 27 27 34
239 27 27 34
240 21 21 22
241 27 27 34
242 18 18 20
243 20 20 22
244 24 24 32
245 24 24 31
246 26 26 33
247 20 20 22
248 19 19 21
249 28 28 35
250 18 18 19
251 21 21 23
252 26 26 34
253 24 24 32
254 25 25 32
255 24 24 31
256 23 23 30
257 28 28 35
258 19 19 21
259 25 25 32
260 17 17 19
261 22 22 24
262 24 24 31
263 23 23 30
264 23 23 30
265 20 20 21
266 23 23 30
267 27 27 34
268 26 26 33
269 28 28 35
270 22 22 23
271 28 28 35
272 24 24 31
273 25 25 32
274 26 26 33
275 27 27 34
276 22 22 23
277 28 28 35
278 22 22 23
279 22 22 23
280 17 17 19
281 27 27 34
282 19 19 19
283 23 23 30
284 26 26 33
285 23 23 30
286 21 21 22
287 23 23 30
288 20 20 21
289 17 17 18
290 28 28 35
291 27 27 34
292 19 19 21
293 21 21 22
294 26 26 33
295 23 23 30
296 18 18 20
297 20 20 22
298 19 19 21
299 22 22 24
300 22 22 24
301 28 28 35
302 23 23 30
303 20 20 22
304 21 21 22
305 27 27 34
306 25 25 32
307 20 20 23
308 22 22 24
309 25 25 32
310 21 21 23
311 21 21 20
312 24 24 31
313 25 25 32
314 19 19 19
315 28 28 35
316 28 28 35
