nbsujet act10 act100 act1000
0 30 30 30
1 36 36 36
2 30 30 30
3 28 28 28
4 58 37 37
5 28 31 31
6 55 33 33
7 26 49 49
8 30 32 32
9 50 49 49
10 27 48 48
11 34 45 45
12 54 37 37
13 57 35 35
14 52 52 50
15 58 58 36
16 50 27 48
17 28 28 28
18 54 54 48
19 34 34 37
20 52 52 35
21 54 54 34
22 49 49 28
23 55 34 37
24 25 25 28
25 53 53 31
26 56 56 36
27 27 27 35
28 26 26 50
29 56 56 34
30 56 56 34
31 56 56 37
32 53 53 31
33 49 49 30
34 33 33 47
35 29 29 31
36 49 49 30
37 27 27 49
38 27 27 48
39 52 52 30
40 36 36 28
41 35 35 44
42 49 49 32
43 48 48 47
44 55 56 37
45 45 45 44
46 52 52 47
47 27 27 31
48 27 27 49
49 2 2 34
50 25 25 29
51 31 31 44
52 56 56 34
53 58 58 36
54 45 45 28
55 53 53 31
56 25 25 51
57 48 48 50
58 49 49 28
59 28 28 28
60 48 48 44
61 51 51 45
62 57 57 35
63 58 58 36
64 26 26 51
65 55 55 33
66 51 51 33
67 53 53 45
68 55 55 33
69 59 59 37
70 53 53 35
71 31 31 44
72 53 53 35
73 56 56 34
74 46 46 49
75 56 56 34
76 53 53 51
77 55 55 36
78 56 56 34
79 31 31 48
80 58 58 36
81 54 54 50
82 27 27 32
83 56 49 34
84 53 53 31
85 52 52 49
86 35 35 45
87 46 46 46
88 50 50 50
89 36 36 36
90 44 44 44
91 52 52 34
92 51 51 46
93 50 50 30
94 55 55 46
95 44 44 44
96 37 37 37
97 51 51 50
98 55 55 37
99 50 50 49
100 34 34 28
101 47 47 47
102 35 35 28
103 53 53 35
104 37 37 37
105 36 36 36
106 45 45 35
107 29 29 35
108 52 52 47
109 51 51 30
110 35 35 35
111 36 36 36
112 55 55 33
113 55 55 28
114 55 55 36
115 55 55 35
116 56 56 32
117 56 56 32
118 30 30 50
119 55 55 32
120 55 55 35
121 53 53 35
122 54 54 37
123 54 54 34
124 55 55 34
125 55 55 31
126 55 55 33
127 53 53 36
128 31 31 49
129 55 55 34
130 53 53 36
131 56 56 28
132 57 57 32
133 56 56 32
134 56 56 29
135 55 55 37
136 50 50 47
137 56 56 36
138 59 59 32
139 55 55 34
140 52 52 36
141 56 56 28
142 56 56 37
143 50 50 49
144 56 56 33
145 58 58 31
146 48 48 44
147 55 55 34
148 55 55 31
149 49 49 45
150 55 55 30
151 56 56 32
152 57 57 31
153 57 57 37
154 53 53 36
155 55 55 28
156 56 56 32
157 31 31 49
158 55 55 28
159 54 54 44
160 48 48 47
161 35 35 45
162 58 58 32
163 34 34 46
164 55 55 31
165 53 53 36
166 33 33 47
167 32 32 48
168 48 48 45
169 55 55 28
170 53 53 50
171 55 55 37
172 55 55 35
173 55 55 28
174 52 52 47
175 55 55 31
176 55 55 30
177 54 54 34
178 56 56 35
179 55 55 30
180 52 52 48
181 55 55 28
182 57 57 31
183 52 52 35
184 52 52 36
185 55 55 32
186 58 58 30
187 58 58 32
188 49 49 50
189 55 55 29
190 55 55 28
191 55 55 31
192 46 46 44
193 56 56 33
194 30 30 50
195 57 57 36
196 55 55 34
197 53 53 49
198 30 30 50
199 55 55 28
200 34 34 46
201 55 55 29
202 55 55 30
203 55 55 32
204 55 55 35
205 32 32 48
206 52 52 35
207 32 32 48
208 35 35 45
209 55 55 34
210 31 31 49
211 35 35 45
212 55 55 37
213 55 55 28
214 55 55 32
215 55 55 30
216 56 56 37
217 53 53 34
218 30 30 50
219 55 55 33
220 55 55 31
221 48 48 50
222 56 56 36
223 55 55 32
224 55 55 34
225 36 36 44
226 53 53 34
227 35 35 45
228 55 55 32
229 55 55 37
230 54 54 33
231 55 55 35
232 57 57 30
233 54 54 34
234 57 57 33
235 51 51 48
236 55 55 28
237 55 55 28
238 34 34 46
239 55 55 28
240 50 50 45
241 53 53 34
242 34 34 46
243 55 55 29
244 53 53 49
245 55 55 36
246 33 33 47
247 54 54 32
248 30 30 50
249 47 47 45
250 53 53 33
251 55 55 28
252 55 55 29
253 30 30 50
254 52 52 49
255 49 49 49
256 51 51 50
257 55 55 30
258 54 54 37
259 47 47 49
260 51 51 36
261 55 55 32
262 30 30 51
263 55 55 37
264 52 52 45
265 55 55 29
266 52 52 35
267 56 56 35
268 55 55 37
269 54 54 34
270 55 55 32
271 50 50 49
272 53 53 34
273 45 45 48
274 32 32 48
275 35 35 46
276 53 53 45
277 52 52 35
278 51 51 37
279 51 51 49
280 56 56 31
281 55 55 33
282 55 55 32
283 55 55 34
284 54 54 45
285 53 53 47
286 55 55 28
287 53 53 36
288 54 54 33
289 54 54 34
290 57 57 31
291 53 53 49
292 52 52 49
293 56 56 33
294 34 34 46
295 55 55 29
296 55 55 37
297 55 55 35
298 55 55 37
299 55 55 37
300 33 33 49
301 33 33 47
302 54 54 48
303 32 32 48
304 55 55 32
305 51 51 36
306 55 55 28
307 55 55 37
308 55 55 30
309 56 56 31
310 54 54 47
311 55 55 32
312 55 55 35
313 55 55 37
314 51 51 48
315 54 54 33
316 54 54 33
317 52 52 47
318 34 34 47
319 53 53 50
320 58 58 33
321 34 34 48
322 53 53 34
323 57 57 30
324 32 32 48
325 50 50 36
326 55 55 32
327 51 51 47
328 35 35 45
329 55 55 36
330 55 55 32
331 55 55 34
332 33 33 47
333 55 55 28
334 51 51 45
335 52 52 35
336 54 54 32
337 47 47 46
338 55 55 31
339 55 55 28
340 50 50 36
